player_id,player_name,at_bat,rbi_average,hit_average,line_average,ground_average,fly_average,strikeout_average,lineup_position
andir001,Robert Andino,1344,0.0722,0.2329,0.1376,0.3996,0.2507,0.2329,9         
zunim001,Mike Zunino,1125,0.1182,0.1947,0.1502,0.2373,0.2676,0.3591,8         
ramow001,Wilson Ramos,2136,0.1503,0.2687,0.1873,0.4602,0.1826,0.1807,7         
casts001,Starlin Castro,4101,0.1056,0.2797,0.1878,0.4197,0.2287,0.1719,2         
coghc001,Chris Coghlan,2505,0.0914,0.2599,0.1972,0.3984,0.2092,0.2048,1         
rosaa001,Adam Rosales,1313,0.1074,0.227,0.1622,0.3145,0.2757,0.2635,8         
morsm001,Michael Morse,2533,0.139,0.2756,0.1666,0.3616,0.2207,0.2582,5         
maybc001,Cameron Maybin,2726,0.0924,0.259,0.1456,0.445,0.1845,0.2355,2         
dozib001,Brian Dozier,2715,0.1274,0.246,0.1694,0.3046,0.3223,0.2184,1         
martr004,Russell Martin,4896,0.1411,0.2545,0.154,0.4052,0.2486,0.2014,5         
pujoa001,Albert Pujols,9138,0.1988,0.3091,0.1666,0.3639,0.3244,0.1152,3         
saltj001,Jarrod Saltalamacchia,2819,0.1352,0.2345,0.1568,0.2377,0.2731,0.3416,7         
stewc001,Chris Stewart,1038,0.08,0.236,0.1696,0.3854,0.3092,0.1618,8         
dudal001,Lucas Duda,2242,0.1521,0.2462,0.186,0.2435,0.3078,0.2721,4         
pillk001,Kevin Pillar,1352,0.0954,0.267,0.2145,0.3794,0.2478,0.1716,8         
rossd001,David Ross,2280,0.1377,0.2285,0.1246,0.2645,0.3136,0.3224,8         
reddj001,Josh Reddick,2658,0.1302,0.2555,0.1983,0.2942,0.3277,0.1892,3         
sandp001,Pablo Sandoval,3691,0.1379,0.2875,0.1878,0.3812,0.2964,0.1466,3         
russa002,Addison Russell,1000,0.149,0.24,0.177,0.309,0.239,0.284,9         
