GameId,AwayTeamId,Inning,BattingTeam,Outs,Balls,Strikes,PitchSequence,AwayScore,HomeScore,BatterId,BatterHand,ResultBatterId,ResultBatterHand,PitcherId,PitcherHand,ResultPitcherId,ResultPitcherHand,Catcher,FirstBaseman,SecondBaseman,ThirdBaseman,Shortstop,LeftFielder,CenterFielder,RightFielder,Runner1Id,Runner2Id,Runner3Id,EventText,LeadOffFlag,PinchHitFlag,DefensivePosition,LineupPosition,EventType,BatterEventFlag,OfficialTimeAtBatFlag,HitValue,SacrificeHitFlag,SacrificeFlyFlag,OutOnPlay,DoublePlayFlag,TriplePlayFlag,RbiOnPlay,WildPitchFlag,PassedBallFlag,FieldedBy,BattedBallType,BuntFlag,FoulFlag,HitLocation,NumberOfErrors,FirstErrorPlayer,FirstErrorType,SecondErrorPlayer,SecondErrorType,ThirdErrorPlayer,ThirdErrorType,BatterDestination,Runner1Destination,Runner2Destination,Runner3Destination,PlayOnBatter,PlayOnRunner1,PlayOnRunner2,PlayOnRunner3,Runner1StolenBaseFlag,Runner2StolenBaseFlag,Runner3StolenBaseFlag,Runner1CaughtStealingFlag,Runner2CaughtStealingFlag,Runner3CaughtStealingFlag,Runner1PickOffFlag,Runner2PickOffFlag,Runner3PickOffFlag,PitcherChargedWithRunner1,PitcherChargedWithRunner2,PitcherChargedWithRunner3,NewGameFlag,EndGameFlag,PinchRunner1Flag,PinchRunner2Flag,PinchRunner3Flag,RunnerRemovedForPinchRunner1,RunnerRemovedForPinchRunner2,RunnerRemovedForPinchRunner3,BatterRemovedForPinchHitter,PositionOfBatterRemovedForPinchHitter,FielderWithFirstPutout,FielderWithSecondPutout,FielderWithThirdPutout,Assist1Fielder,Assist2Fielder,Assist3Fielder,Assist4Fielder,Assist5Fielder,EventNumber,GameDate,GameNumber
ANA201604240,SEA,1,1,2,2,1,BBFX,4,3,simma001,R,simma001,R,milew001,L,milew001,L,clevs001,linda001,canor001,seagk001,martk001,aokin001,martl004,smits002,NULL,sotog001,NULL,63/G,0,0,6,7,2,1,1,0,0,0,1,0,0,0,0,0,6,G,0,0,NULL,0,0,N,0,N,0,N,0,0,2,0,63,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,milew001,NULL,0,0,0,0,0,NULL,NULL,NULL,NULL,0,3,0,0,6,0,0,0,0,15,2016/04/24,0
ANA201604240,SEA,2,0,0,1,1,CBX,4,3,martk001,L,martk001,L,shoem001,R,shoem001,R,sotog001,cronc002,giavj001,escoy001,simma001,gentc001,troum001,calhk001,NULL,NULL,NULL,S7/L.B-2(E7),1,0,6,9,20,1,1,1,0,0,0,0,0,0,0,0,7,L,0,0,NULL,1,7,F,0,N,0,N,2,0,0,0,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,16,2016/04/24,0
ANA201604240,SEA,2,0,0,0,0,X,4,3,aokin001,L,aokin001,L,shoem001,R,shoem001,R,sotog001,cronc002,giavj001,escoy001,simma001,gentc001,troum001,calhk001,NULL,martk001,NULL,23/BG/SH.2-3,0,0,7,1,2,1,0,0,1,0,1,0,0,0,0,0,2,G,1,0,NULL,0,0,N,0,N,0,N,0,0,3,0,23,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,shoem001,NULL,0,0,0,0,0,NULL,NULL,NULL,NULL,0,3,0,0,2,0,0,0,0,17,2016/04/24,0
ANA201604240,SEA,2,0,1,0,2,FSFX,4,3,smits002,L,smits002,L,shoem001,R,shoem001,R,sotog001,cronc002,giavj001,escoy001,simma001,gentc001,troum001,calhk001,NULL,NULL,martk001,6/L,0,0,9,2,2,1,1,0,0,0,1,0,0,0,0,0,6,L,0,0,NULL,0,0,N,0,N,0,N,0,0,0,3,6,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,shoem001,0,0,0,0,0,NULL,NULL,NULL,NULL,0,6,0,0,0,0,0,0,0,18,2016/04/24,0
ANA201604240,SEA,2,0,2,1,1,F*BX,4,3,canor001,L,canor001,L,shoem001,R,shoem001,R,sotog001,cronc002,giavj001,escoy001,simma001,gentc001,troum001,calhk001,NULL,NULL,martk001,9/L,0,0,4,3,2,1,1,0,0,0,1,0,0,0,0,0,9,L,0,0,NULL,0,0,N,0,N,0,N,0,0,0,3,9,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,shoem001,0,0,0,0,0,NULL,NULL,NULL,NULL,0,9,0,0,0,0,0,0,0,19,2016/04/24,0
ANA201604240,SEA,2,1,0,1,1,BCX,4,3,cronc002,R,cronc002,R,milew001,L,milew001,L,clevs001,linda001,canor001,seagk001,martk001,aokin001,martl004,smits002,NULL,NULL,NULL,63/G,1,0,3,8,2,1,1,0,0,0,1,0,0,0,0,0,6,G,0,0,NULL,0,0,N,0,N,0,N,0,0,0,0,63,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,NULL,0,3,0,0,6,0,0,0,0,20,2016/04/24,0
ANA201604240,SEA,2,1,1,1,0,BX,4,3,gentc001,R,gentc001,R,milew001,L,milew001,L,clevs001,linda001,canor001,seagk001,martk001,aokin001,martl004,smits002,NULL,NULL,NULL,S8/L,0,0,7,9,20,1,1,1,0,0,0,0,0,0,0,0,8,L,0,0,NULL,0,0,N,0,N,0,N,1,0,0,0,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,21,2016/04/24,0
ANA201604240,SEA,2,1,1,1,0,BX,4,3,escoy001,R,escoy001,R,milew001,L,milew001,L,clevs001,linda001,canor001,seagk001,martk001,aokin001,martl004,smits002,gentc001,NULL,NULL,46(1)3/GDP,0,0,5,1,2,1,1,0,0,0,2,1,0,0,0,0,4,G,0,0,NULL,0,0,N,0,N,0,N,0,0,0,0,63,46,NULL,NULL,0,0,0,0,0,0,0,0,0,milew001,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,NULL,0,6,3,0,4,6,0,0,0,22,2016/04/24,0
ANA201604240,SEA,3,0,0,1,2,FBTS,4,3,cruzn002,R,cruzn002,R,shoem001,R,shoem001,R,sotog001,cronc002,giavj001,escoy001,simma001,gentc001,troum001,calhk001,NULL,NULL,NULL,K,1,0,10,4,3,1,1,0,0,0,1,0,0,0,0,0,0,NULL,0,0,NULL,0,0,N,0,N,0,N,0,0,0,0,2,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,NULL,0,2,0,0,0,0,0,0,0,23,2016/04/24,0
ANA201604240,SEA,3,0,1,3,2,FSBFFBBS,4,3,linda001,L,linda001,L,shoem001,R,shoem001,R,sotog001,cronc002,giavj001,escoy001,simma001,gentc001,troum001,calhk001,NULL,NULL,NULL,K,0,0,3,5,3,1,1,0,0,0,1,0,0,0,0,0,0,NULL,0,0,NULL,0,0,N,0,N,0,N,0,0,0,0,2,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,NULL,0,2,0,0,0,0,0,0,0,24,2016/04/24,0
