Guid	GameId	Date	GameNumber	DayOfTheWeek	StartTime	DesignerHitterFlag	DayNightFlag	AwayTeamId	HomeTeamId	ParkId	AwayStartPitcherId	HomeStartPitcherId	HomePlateUmpireId	Base1UmpireId	Base2UmpireId	Base3UmpireId	LeftFieldUpireId	RightFieldUmpireId	Attendance	ScorerRecordId	TranslatorRecordId	Inputter	InputTime	Edit Time	HowScored	PitchesEntered	Temperature	WindDirection	WindSpeed	FieldCondition	Precipitation	Sky	Minutes	NumberOfInnings	AwayFinalScore	HomeFinalScore	AwayHits	HomeHits	AwayErrors	HomeErrors	AwayLeftOnBases	HomeLeftOnBases	WinningPitcher	LosingPitcher	SavePitcher	GameWinningRbi	AwayBatter1	AwayBatter1FieldPosition	AwayBatter2	AwayBatter2FieldPosition	AwayBatter3	AwayBatter3FieldPosition	AwayBatter4	AwayBatter4FieldPosition	AwayBatter5	AwayBatter5FieldPosition	AwayBatter6	AwayBatter6FieldPosition	AwayBatter7	AwayBatterFieldPosition	AwayBatter8	AwayBatter8FieldPosition	AwayBatter9	AwayBatter9FieldPosition	HomeBatter1	HomeBatter1FieldPosition	HomeBatter2	HomeBatter2FieldPosition	HomeBatter3	HomeBatter3FieldPosition	HomeBatter4	HomeBatter4FieldPosition	HomeBatter5	HomeBatter5FieldPosition	HomeBatter6	HomeBatter6FieldPosition	HomeBatter7	HomeBatter7FieldPosition	HomeBatter8	HomeBatter8FieldPosition	HomeBatter9	HomeBatter9FieldPosition	AwayFinishingPitcher	HomeFinishingPitcher
997A47BE-1BD5-4323-B64F-01DE0EF050EB	CHA201609150	20160915	0	Thursday	110	T	D	CLE	CHA	CHI12	clevm001	shiej002	davib902	iassd901	barrl901	scotd901	NULL	NULL	14190	NULL	NULL	NULL	NULL	NULL	1	1	76	4	9	0	0	2	192	9	1	2	4	9	0	1	9	8	robed002	shawb001	NULL	NULL	crisc001	7	kipnj001	4	ramij003	5	napom001	10	santc002	3	naqut001	8	almoa001	9	perer003	2	martm003	6	eatoa002	8	andet001	6	cabrm002	7	abrej003	10	frazt001	3	narvo001	2	garca003	9	sancc001	5	salat001	4	shawb001	robed002
C1C6FB43-DEEA-4023-B18B-020CEE36EB1A	MIA201608090	20160809	0	Tuesday	711	F	N	SFN	MIA	MIA02	moorm003	koeht001	diazl901	blasc901	nelsj901	eddid901	NULL	NULL	19636	NULL	NULL	NULL	NULL	NULL	1	1	78	0	0	4	1	5	178	9	0	2	3	4	0	1	7	7	koeht001	moorm003	rodnf001	NULL	spand001	8	pagaa001	7	beltb001	3	crawb001	6	gillc001	5	pench001	9	panij002	4	browt002	2	moorm003	1	gordd002	4	pradm001	5	yelic001	7	stanm004	9	ozunm001	8	johnc003	3	mathj001	2	rojam002	6	koeht001	1	romos001	rodnf001
5F9D5097-9570-4026-817F-0218A6878A95	ANA201604230	20160423	0	Saturday	608	T	N	SEA	ANA	ANA01	hernf002	santh001	ticht901	millb901	hobep901	knigb901	NULL	NULL	41058	NULL	NULL	NULL	NULL	NULL	1	1	73	3	5	0	0	1	165	9	2	4	6	7	1	0	7	5	santh001	hernf002	streh001	NULL	aokin001	7	martk001	6	canor001	4	cruzn002	10	gutif001	9	seagk001	5	iannc001	2	lee-d004	3	martl004	8	escoy001	5	orter001	7	troum001	8	pujoa001	10	calhk001	9	simma001	6	pennc001	4	perec003	2	choij001	3	nunov001	streh001
46C0045B-BCC2-47A8-9C15-02322EEB58F0	ARI201607150	20160715	0	Friday	640	F	N	LAN	ARI	PHO01	norrb001	corbp001	iassd901	scotd901	barrl901	davib902	NULL	NULL	30639	NULL	NULL	NULL	NULL	NULL	1	1	82	0	0	4	1	5	231	9	13	7	18	12	0	2	11	5	norrb001	corbp001	NULL	NULL	kendh001	7	seagc001	6	turnj001	5	gonza003	3	puigy001	9	vanss001	8	grany001	2	taylc001	4	norrb001	1	seguj002	4	bourm001	8	goldp001	3	lambj001	5	castw002	2	herrc001	7	tomay001	9	corbp001	1	ahmen001	6	hatcc002	delgr001
1FBD8E3C-D1E1-470E-9CA5-02459958CC34	CHN201606020	20160602	0	Thursday	120	F	D	LAN	CHN	CHI11	uriaj001	hendk001	lentn901	emmep901	wolfj901	may-b901	NULL	NULL	37422	NULL	NULL	NULL	NULL	NULL	1	1	78	3	9	0	0	1	145	9	2	7	3	10	1	0	1	5	hendk001	uriaj001	NULL	NULL	utlec001	4	seagc001	6	turnj001	5	gonza003	3	pedej001	8	thomt002	9	crawc002	7	ellia001	2	uriaj001	1	fowld001	8	heywj001	9	bryak001	5	rizza001	3	solej001	7	russa002	6	baezj001	4	montm001	2	hendk001	1	colel001	woodt004
183CA879-D2EE-45D4-B69B-026F5BB28474	CLE201606050	20160605	0	Sunday	110	T	D	KCA	CLE	CLE08	younc003	klubc001	davig901	drakr901	torrc901	holbs901	NULL	NULL	16747	NULL	NULL	NULL	NULL	NULL	1	1	78	3	13	0	0	2	141	9	0	7	3	9	0	0	4	3	klubc001	younc003	NULL	NULL	escoa003	6	merrw001	4	hosme001	3	peres002	2	morak001	10	orlap001	9	fuenr001	7	cuthc001	5	dysoj001	8	santc002	3	kipnj001	4	lindf001	6	napom001	10	chisl001	9	davir003	7	gomey001	2	naqut001	8	uribj002	5	moylp001	adama001
2979604F-0B56-41C7-97AC-02AF3DAAD7C2	SLN201610010	20161001	0	Saturday	1206	F	D	PIT	SLN	STL10	kuhlc001	wachm001	marqa901	cuzzp901	ticht901	vanol901	NULL	NULL	43328	NULL	NULL	NULL	NULL	NULL	1	1	67	4	11	0	0	0	192	9	3	4	7	11	0	0	6	7	siegk001	rivef001	oh--s001	NULL	fraza001	7	bellj005	9	rodrs002	6	polag001	8	kangj001	5	jasoj001	3	hansa001	4	stalj001	2	kuhlc001	1	carpm002	3	diaza003	6	moliy001	2	piscs001	9	peraj001	5	mossb001	7	gyorj001	4	gricr001	8	wachm001	1	rivef001	oh--s001
A34A71BE-8701-4E17-BEF5-02B330AAB7BB	SLN201604300	20160430	0	Saturday	115	F	D	WAS	SLN	STL10	rossj002	garcj004	nelsj901	eddid901	diazl901	may-b901	NULL	NULL	42723	NULL	NULL	NULL	NULL	NULL	1	1	69	8	7	0	0	3	182	9	6	1	6	8	1	3	6	9	rossj002	garcj004	NULL	NULL	taylm002	8	renda001	5	harpb003	9	zimmr001	3	murpd006	4	wertj001	7	espid001	6	lobaj001	2	rossj002	1	hazej001	8	carpm002	5	hollm001	7	adamm002	3	moliy001	2	mossb001	9	tejar001	6	wongk001	4	garcj004	1	kells001	roset001
23441B55-E298-49DD-BB86-02BAFAE724B6	ATL201609180	20160918	0	Sunday	136	F	D	WAS	ATL	ATL02	rossj002	wislm001	fleta901	danlk901	rippm901	westj901	NULL	NULL	37296	NULL	NULL	NULL	NULL	NULL	1	1	75	8	5	0	0	3	156	7	2	6	7	12	0	0	4	9	wislm001	rossj002	NULL	NULL	turnt001	4	wertj001	7	harpb003	9	robic001	3	ramow001	2	reveb001	8	espid001	6	difow001	5	rossj002	1	incie001	8	garca004	5	freef001	3	kempm001	7	markn001	9	flowt001	2	petej002	4	swand001	6	wislm001	1	gracm003	simms001
44BD1BA7-9C7B-4F43-AD4C-02ED076C3A70	SDN201606170	20160617	0	Friday	741	F	N	WAS	SDN	SAN02	rossj002	friec001	torrc901	knigb901	holbs901	davig901	NULL	NULL	31137	NULL	NULL	NULL	NULL	NULL	1	1	76	4	13	0	0	1	192	9	7	5	11	9	0	0	4	9	rossj002	friec001	petiy001	NULL	taylm002	8	wertj001	7	harpb003	9	murpd006	4	zimmr001	3	ramow001	2	renda001	5	espid001	6	rossj002	1	jay-j001	8	myerw001	3	kempm001	9	solay001	5	uptob001	7	norrd001	2	schir001	4	ramia003	6	friec001	1	petiy001	buchr001
